Sungevity,partnership,Lowe's Home ,hardware store,05/17/11,http://tinyurl.com/3zqxg7w 
SolarCity,acquisition,Zep Solar,solar installer,10/09/13,
SolarCity,partnership,Honda,Car company,,http://www.nytimes.com/2013/02/20/business/honda-to-offer-customers-a-home-solar-system-option.html?smid=fb-nytimes&_r=1&
SolarCity,partnership,Shea Homes,Home builder,04/13/13,http://www.solarcity.com/pressreleases/174/Shea-Homes%C2%AE-and-SolarCity-to-Celebrate-Earth-Day-with-the-sale-of-1-000th-SheaXero-No-Electric-Bill%E2%84%A2-Home.aspx
SolarCity,acquisition,Building Solutions ,energy efficiency,05/01/10,http://www.solarcity.com/pressreleases/62/solarcity-acquires-building-solutions-integrates-solar-power-and-energy-efficiency-services.aspx
SolarCity,partnership,Hawaii Electric,utility,10/14/13,
SolarCity,partnership,Google,tech company,06/14/11, http://fb.me/zQB1nDft 
SolarCity,partnership,McCaffrey Homes,Home builder,08/25/11,http://t.co/FEZ2fQN 
SolarCity,partnership,US Military,Government,09/07/11,http://t.co/eF6VFH3
SolarCity,partnership,Common Sense Solar,Sidwell,06/05/12,http://www.solarcity.com/pressreleases/121/Sidwell-Friends--SolarCity-and-Common-Cents-Solar-Partner-to-Bring-New-Energy---Savings-.aspx
SolarCity,partnership,BASF,energy efficiency,01/25/13,http://www.solarcity.com/pressreleases/161/BASF--SolarCity-team-up-to-provide-solar-electricity-for-net-zero-energy-homes-.aspx
SolarCity,acquisition,Paramount Solar,solar installer,09/09/13,http://www.solarcity.com/pressreleases/200/-SolarCity-Completes-the-Acquisition-of-Paramount-Solar.aspx
SolarCity,partnership,Viridian Team,solar installer,09/23/13,http://www.solarcity.com/pressreleases/204/-SolarCity-and-Viridian-Team-to-Provide-Clean-Energy-Day-and-Night.aspx
SolarCity,partnership,Direct Energy Form,Financing,09/19/13,http://www.greentechmedia.com/articles/read/SolarCity-And-Direct-Energy-Form-124M-Fund-For-Commercial-and-Industrial-S?utm_source=buffer&utm_campaign=Buffer&utm_content=buffer0e563&utm_medium=twitter
SolarCity,partnership,BMW,Car company,11/19/13,http://cleantechnica.com/2013/11/15/bmw-partners-solar-city-offer-solar-ev-bundle/
SolarCity,partnership,Home Depot,hardware store,,http://www.solarcity.com/home-depot/
SolarCity,partnership,TXU Energy,utility,11/19/13,http://www.solarcity.com/pressreleases/55/Affordable-Solar-Power-Arrives-in-Texas-.aspx
SolarCity,partnership,Merrill Lynch,Financing,,
Sunrun,partnership,Acro Energy,solar installer,06/29/11,
Sunrun,partnership,Gen 110,energy efficiency,05/23/12,
Sunrun,partnership,HelioPower,solar manufacturer,,
Sunrun,partnership,Namaste,solar installer,,
Sunrun,partnership,Sierra Club,Non profit,,
Sunrun,partnership,Petersendean,solar installer,,
Sunrun,partnership,Real Goods Solar,solar installer,06/22/11,
Sunrun,partnership,Luminalt,solar installer,08/16/11,
Sunrun,partnership,Mark Group,energy efficiency,09/22/11,
Sunrun,partnership,Home Depot,home improvement,08/12/10,
Sunrun,partnership,OrchardSupply,hardware store,11/02/11,
Sunrun,partnership,StandardSolar,solar installer,08/23/11, http://t.co/yG9NQ3W 
Sunrun,partnership,MercurySolar,solar installer,10/14/11,http://t.co/AIy4PO7J 
Sunrun,partnership,Horizon Solar,solar installer,,
Sunrun,partnership,OnForceSolar ,solar installer,11/02/11,
Sunrun,partnership,Accel Partners,solar installer,,
Sunrun,partnership,Cydcor Solar Energy,solar installer,05/15/12,
Sunrun,partnership,US Bank,Financing,04/25/12,
Solare Energy,partnership,Best Buy,tech company,06/03/11,http://solareenergy.com/solare-energy-partners-with-best-buys-magnolia
Verengo,partnership,Yingli Solar,solar manufacturer,,
Advanced Solar Electric,partnership,advanced solar electric,solar installer,,
Sunrun,acquisition,REC Solar,solar installer,02/05/14,http://t.co/t5XWz3nsvm
REC Solar,partnership,Solar Novus ,Public/Private Partnerships,01/29/13,http://t.co/fpSGh0OL
Clean Solar,partnership,Rotar Club,Non profit,01/10/14, http://t.co/GhSVcVWWqR
Sullivan Solar,partnership,Grid Alternative,Non profit,,
Green Convergence,partnership,SunPower,solar manufacturer,08/19/10,
The Solar Company,partnership,SunPower,solar manufacturer,,
Sullivan Solar ,partnership,Aleo Solar,Financing,02/24/13,http://www.virtual-strategy.com/2013/02/23/sullivan-solar-power-partners-aleo-solar-provide-industry%E2%80%99s-first-299-financing
Sullivan Solar ,partnership,Grid Alternative,Non profit,05/02/13,http://www.prweb.com/releases/2013/5/prweb10695539.htm
Sungevity,partnership,Zonline,solar installer,11/17/11,
Sungevity,partnership,Sierra Club,Non profit,04/12/13,
Solaire ,partnership,SunPower,manufacturer,12/14/11,
Solaire ,partnership,HERO financing,Financing,05/02/13,
Real Goods Solar,acquisition,Syndicated Solar,solar installer,,
Real Goods Solar,partnership,BMW,Car company,05/07/12,
Real Goods Solar,acquisition,MercurySolar,solar installer,05/07/12,
Verengo,partnership,uRefer,manage referrals,06/15/10,http://www.ReferVerengo.com/ 
Verengo,partnership,Wells Fargo,Financing,10/13/10,http://www.ocmetro.com/t-Wells_Fargo_solar_incentives_program_101310.aspx
Verengo,partnership,Yingli Solar,manufacturer,10/13/10,
Sungate,partnership,SolarWorld,,,
Pacific Solar ,partnership,SunPower,manufacturer,,
Petersendean,partnership,Suniva Solar,,,
Petersendean,partnership,DPW,mounting solutions,10/21/13,http://www.petersendean.com/petersendean-partners-with-suniva-and-dpw-solar-on-solar4america-campaign/
Sunpower,partnership,Ford,car manufacturer,,
Skytech,partnership,OneRoof Energy ,,08/23/13,http://t.co/FKK2rHEobC   
